stat_id,value,date,team_key,manager,stat_id,stat_name
27,-,2011-04-02,346.l.49099.t.9,Andrew,27,WHIP
60,-,2011-04-02,346.l.49099.t.10,wutang,60,AVG
7,-,2011-04-02,346.l.49099.t.10,wutang,7,R
13,-,2011-04-02,346.l.49099.t.10,wutang,13,RBI
16,-,2011-04-02,346.l.49099.t.10,wutang,16,SB
23,-,2011-04-02,346.l.49099.t.10,wutang,23,TB
4,-,2011-04-02,346.l.49099.t.10,wutang,4,OBP
50,-,2011-04-02,346.l.49099.t.10,wutang,50,IP
28,-,2011-04-02,346.l.49099.t.10,wutang,28,W
32,-,2011-04-02,346.l.49099.t.10,wutang,32,SV
