stat_id,value,date,team_key
27,1.57,2013-04-05,308.l.54481.t.5
60,12/35,2013-04-05,308.l.54481.t.6
7,4,2013-04-05,308.l.54481.t.6
13,6,2013-04-05,308.l.54481.t.6
16,0,2013-04-05,308.l.54481.t.6
23,18,2013-04-05,308.l.54481.t.6
4,.343,2013-04-05,308.l.54481.t.6
50,2.0,2013-04-05,308.l.54481.t.6
28,0,2013-04-05,308.l.54481.t.6
32,0,2013-04-05,308.l.54481.t.6
42,4,2013-04-05,308.l.54481.t.6
26,0.00,2013-04-05,308.l.54481.t.6
27,0.50,2013-04-05,308.l.54481.t.6
60,9/30,2013-04-05,308.l.54481.t.7
7,3,2013-04-05,308.l.54481.t.7
13,4,2013-04-05,308.l.54481.t.7
16,2,2013-04-05,308.l.54481.t.7
23,14,2013-04-05,308.l.54481.t.7
4,.364,2013-04-05,308.l.54481.t.7
50,13.2,2013-04-05,308.l.54481.t.7
28,2,2013-04-05,308.l.54481.t.7
32,1,2013-04-05,308.l.54481.t.7
42,20,2013-04-05,308.l.54481.t.7
26,1.32,2013-04-05,308.l.54481.t.7
27,0.73,2013-04-05,308.l.54481.t.7
60,7/34,2013-04-05,308.l.54481.t.8
