,0
1175,3.79
1176,4.78
1177,1.62
1178,1.71
1179,2.78
1180,3.45
1181,
1182,2.36
1183,
1184,
1185,4.21
1186,3.88
1187,4.07
1188,
1189,5.51
1190,3.85
1191,2.78
1192,4.58
1193,6.43
1194,3.88
1195,
1196,2.22
1197,2.15
1198,2.33
1199,1.94
1200,2.17
1201,4.23
1202,2.78
1203,5.87
1204,3.2
1205,5.7
1206,5.01
1207,
1208,2.78
1209,2.72
1210,2.64
1211,3.66
1212,11.18
1213,3.96
1214,2.78
1215,3.89
1216,1.67
1217,5.84
1218,2.11
1219,2.36
1220,
1221,3.77
1222,1.1
1223,3.16
1224,4.91
1225,2.36
1226,4.11
1227,2.36
1228,
1229,2.65
1230,6.36
1231,2.88
1232,3.2
1233,4.01
1234,2.36
1235,
1236,4.78
1237,9.15
1238,6.96
1239,2.78
1240,2.11
1241,3.04
1242,2.36
1243,3.79
1244,3.1
1245,2.26
1246,4.84
1247,
1248,2.48
1249,2.78
1250,1.21
1251,
1252,3.8
1253,6.44
1254,2.45
1255,1.93
1256,
1257,4.01
1258,3.16
1259,2.59
1260,2.82
1261,4.61
1262,5.48
1263,2.78
1264,1.62
1265,
1266,5.14
1267,
1268,4.39
1269,2.36
1270,3.66
1271,4.03
1272,3.66
1273,5.05
1274,3.37
1275,
1276,5.2
1277,2.04
1278,5.56
1279,2.36
1280,1.83
1281,3.55
1282,2.22
1283,2.36
1284,7.46
1285,4.31
1286,7.95
1287,4.23
1288,2.78
1289,2.79
1290,
1291,2.88
1292,2.04
1293,2.78
1294,1.72
1295,5.77
1296,2.17
1297,2.04
1298,
1299,2.66
1300,1.63
1301,2.43
1302,5.49
1303,2.78
1304,3.16
1305,2.66
1306,3.57
1307,
1308,
1309,5.54
1310,2.59
1311,3.79
1312,3.88
1313,
1314,2.92
1315,2.64
1316,4.58
1317,6.29
1318,3.45
1319,8.65
1320,1.63
1321,2.64
1322,3.37
1323,
1324,1.67
1325,6.94
1326,
1327,1.9
1328,2.04
1329,4.56
1330,1.81
1331,
1332,2.45
1333,5.46
1334,4.33
1335,2.78
1336,
1337,2.66
1338,1.81
1339,2.78
1340,6.64
1341,6.81
1342,2.78
1343,5.48
1344,
1345,2.38
1346,6.95
1347,2.26
1348,2.64
1349,1.89
1350,4.61
1351,1.15
1352,3.63
1353,1.89
1354,2.95
1355,2.38
1356,1.62
1357,2.45
1358,1.36
1359,7.66
1360,2.09
1361,6.09
1362,2.97
1363,2.78
1364,2.78
1365,1.7
1366,
1367,1.15
1368,
1369,2.48
1370,4.57
1371,4.33
1372,1.25
1373,2.78
1374,3.16
1375,2.0
1376,3.09
1377,1.75
1378,2.6
1379,2.78
1380,6.46
1381,4.91
1382,1.07
1383,
1384,7.35
1385,6.64
1386,2.72
1387,3.64
1388,2.04
1389,3.1
1390,3.63
1391,4.41
1392,4.95
1393,2.36
1394,2.66
1395,2.36
1396,5.14
1397,6.42
1398,3.8
1399,3.48
1400,4.01
1401,7.63
1402,3.66
1403,2.78
1404,2.78
1405,2.8
1406,2.14
1407,
1408,2.22
1409,2.11
1410,3.3
1411,4.84
1412,2.24
1413,3.2
1414,3.88
1415,2.82
1416,3.66
1417,
1418,3.19
1419,
1420,1.89
1421,7.38
1422,5.84
1423,
1424,2.36
1425,3.38
1426,2.78
1427,3.02
1428,10.0
1429,2.6
1430,3.78
1431,2.78
1432,3.57
1433,1.7
1434,7.33
1435,3.36
1436,4.76
1437,5.01
1438,1.83
1439,4.33
1440,2.38
1441,1.7
1442,4.07
1443,2.78
1444,7.33
1445,2.78
1446,2.78
1447,1.94
1448,2.45
1449,2.3
1450,4.41
1451,1.08
1452,2.68
1453,1.81
1454,
1455,2.04
1456,2.17
1457,
1458,1.99
1459,
1460,
1461,4.22
1462,2.36
1463,
1464,5.13
1465,1.69
1466,3.71
1467,2.66
1468,5.32
1469,1.9
1470,4.85
1471,2.04
1472,4.38
1473,7.46
1474,9.96
1475,
1476,7.33
1477,5.0
1478,2.36
1479,2.04
1480,2.95
1481,1.36
1482,3.1
1483,1.08
1484,4.41
1485,1.19
1486,2.78
1487,5.08
1488,3.57
1489,3.09
1490,1.81
1491,
1492,2.64
1493,2.45
1494,5.0
1495,3.66
1496,2.24
1497,3.8
1498,2.09
1499,2.31
1500,2.78
1501,
1502,5.71
1503,
1504,3.16
1505,9.15
1506,5.71
1507,2.66
1508,2.64
1509,7.83
1510,
1511,2.92
1512,7.13
1513,2.36
1514,2.28
1515,2.48
1516,5.88
1517,2.33
1518,
1519,4.11
1520,4.26
1521,2.78
1522,4.31
1523,9.15
1524,2.6
1525,3.31
1526,2.48
1527,1.36
1528,3.09
1529,3.36
1530,6.92
1531,2.78
1532,5.49
1533,4.55
1534,4.41
1535,
1536,3.37
1537,1.08
1538,5.61
1539,1.25
1540,3.66
1541,2.64
1542,2.64
1543,4.01
1544,2.11
1545,6.58
1546,
1547,3.8
1548,9.04
1549,4.76
1550,4.26
1551,4.62
1552,2.78
1553,3.63
1554,2.6
1555,3.66
1556,2.36
1557,2.0
1558,4.8
1559,
1560,2.36
1561,2.56
1562,5.07
1563,2.78
1564,4.39
1565,5.01
1566,1.25
1567,4.41
1568,
1569,2.81
1570,1.42
1571,3.66
1572,4.56
1573,2.78
1574,5.18
1575,2.36
1576,
1577,2.36
1578,3.16
1579,1.7
1580,2.66
1581,3.5
1582,
1583,2.06
1584,1.94
1585,1.99
1586,1.19
1587,2.0
1588,3.21
1589,4.42
1590,2.78
1591,5.71
1592,
1593,
1594,4.55
1595,3.66
1596,
1597,2.09
1598,3.69
1599,6.43
1600,2.36
1601,2.36
1602,4.45
1603,
1604,2.82
1605,2.49
1606,1.81
1607,2.88
1608,2.45
1609,2.36
1610,3.55
1611,1.3
1612,3.57
1613,2.78
1614,
1615,3.36
1616,
1617,5.61
1618,2.04
1619,6.96
1620,1.64
1621,2.78
1622,5.54
1623,2.78
1624,2.17
1625,2.78
1626,2.78
1627,2.78
1628,
1629,10.31
1630,
1631,5.33
1632,5.18
1633,2.62
1634,1.59
1635,2.78
1636,2.48
1637,3.47
1638,3.3
1639,7.82
1640,5.87
1641,1.84
1642,1.9
1643,2.15
1644,1.94
1645,2.36
1646,1.34
1647,4.33
1648,3.4
1649,4.33
1650,3.66
1651,1.58
1652,3.09
1653,5.01
1654,1.06
1655,1.67
1656,2.56
1657,5.26
1658,3.14
1659,1.84
1660,3.5
1661,3.96
1662,2.31
1663,2.72
1664,2.04
1665,4.58
1666,1.67
1667,2.92
1668,5.93
1669,
1670,3.3
1671,1.25
1672,1.76
1673,1.15
1674,
1675,2.36
1676,2.15
1677,2.71
1678,
1679,5.13
1680,1.94
1681,3.19
1682,2.91
1683,5.68
1684,4.41
1685,2.96
1686,2.66
1687,
1688,5.0
1689,3.79
1690,5.9
1691,5.2
1692,1.94
1693,5.54
1694,5.04
1695,
1696,4.15
1697,2.48
1698,2.04
1699,
1700,2.78
1701,1.91
1702,5.57
1703,5.87
1704,5.48
1705,
1706,3.3
1707,
1708,5.14
1709,2.04
1710,
1711,2.46
1712,1.94
1713,
1714,2.22
1715,3.96
1716,2.38
1717,
1718,2.62
1719,4.41
1720,3.27
1721,2.24
1722,2.22
1723,5.87
1724,3.16
1725,2.6
1726,2.78
1727,2.78
1728,1.7
1729,2.11
1730,5.48
1731,2.59
1732,5.2
1733,4.15
1734,2.52
1735,2.78
1736,2.65
1737,3.62
1738,2.36
1739,
1740,1.03
1741,
1742,6.09
1743,4.44
1744,4.41
1745,2.92
1746,2.24
1747,2.64
1748,
1749,3.66
1750,2.46
1751,
1752,
1753,
1754,
1755,
1756,
1757,
1758,
1759,
1760,
1761,
1762,
1763,
1764,
1765,
1766,
1767,
1768,
1769,
1770,
1771,
1772,
1773,
1774,
1775,
1776,
1777,
1778,
1779,
1780,
1781,
1782,
1783,
1784,
1785,
1786,
1787,
1788,
1789,
1790,
1791,
1792,
1793,
1794,
1795,
1796,
1797,
1798,
1799,2.48
1800,4.84
1801,7.53
1802,1.62
1803,
1804,4.41
1805,5.88
1806,4.23
1807,3.16
1808,2.46
1809,
1810,4.4
1811,4.76
1812,2.62
1813,2.38
1814,4.76
1815,
1816,1.92
1817,4.51
1818,1.07
1819,2.78
1820,2.78
1821,4.41
1822,2.88
1823,2.25
1824,1.64
1825,
1826,3.63
1827,
1828,1.94
1829,3.96
1830,6.43
1831,4.14
1832,3.46
1833,2.93
1834,
1835,2.66
1836,4.33
1837,4.44
1838,4.26
1839,8.62
1840,
1841,
1842,2.36
1843,4.33
1844,4.41
1845,1.99
1846,
1847,3.1
1848,
1849,2.78
1850,1.1
1851,3.05
1852,6.42
1853,4.61
1854,4.23
1855,2.97
1856,1.94
1857,2.17
1858,2.97
1859,2.46
1860,
1861,4.84
1862,2.78
1863,1.72
1864,1.08
1865,0.86
1866,1.25
1867,3.8
1868,
1869,4.41
1870,4.33
1871,4.11
1872,2.17
1873,
1874,2.51
1875,2.28
1876,
1877,4.57
1878,3.63
1879,1.89
1880,4.41
1881,
1882,7.74
1883,1.25
1884,2.04
1885,1.99
1886,4.39
1887,1.15
1888,4.15
1889,2.36
1890,1.69
1891,2.91
1892,3.36
1893,6.64
1894,1.55
1895,1.7
1896,3.66
1897,3.27
1898,2.78
1899,3.2
1900,1.15
1901,2.24
1902,2.15
1903,4.39
1904,
1905,2.04
1906,3.92
1907,2.78
1908,2.97
1909,1.81
1910,8.53
1911,
1912,
1913,
1914,4.58
1915,
1916,2.82
1917,8.7
1918,1.94
1919,3.71
1920,6.95
1921,6.96
1922,3.2
1923,1.69
1924,9.41
1925,2.81
1926,3.79
1927,3.21
1928,2.66
1929,4.11
1930,1.37
1931,5.49
1932,3.27
1933,2.42
1934,
1935,3.8
1936,
1937,3.69
1938,
1939,3.66
1940,6.64
1941,2.6
1942,2.78
1943,1.69
1944,4.33
1945,2.45
1946,1.55
1947,1.94
1948,
1949,2.92
1950,2.36
1951,2.72
1952,1.9
1953,2.22
1954,
1955,5.84
1956,2.36
1957,4.26
1958,2.64
1959,
1960,4.73
1961,2.78
1962,1.94
1963,2.78
1964,
1965,
1966,2.93
1967,5.2
1968,
1969,2.15
1970,3.21
1971,
1972,
1973,2.38
1974,
1975,
1976,1.94
1977,3.19
1978,2.36
1979,2.45
1980,1.7
1981,5.32
1982,2.64
1983,3.66
1984,4.44
1985,3.31
1986,1.81
1987,3.1
1988,1.62
1989,2.11
1990,
1991,
1992,3.4
1993,
1994,5.01
1995,3.66
1996,2.06
1997,2.66
1998,2.64
1999,
2000,2.78
2001,
2002,3.22
2003,3.09
2004,1.84
2005,3.36
2006,
2007,1.84
2008,2.78
2009,2.11
2010,4.57
2011,2.64
2012,2.95
2013,2.04
2014,3.45
2015,5.49
2016,5.0
2017,7.45
2018,2.64
2019,2.78
2020,4.23
2021,3.2
2022,5.33
2023,1.94
2024,1.3
2025,4.33
2026,
2027,4.39
2028,1.36
2029,3.3
2030,1.81
2031,5.22
2032,2.6
2033,3.36
2034,2.36
2035,2.78
2036,3.28
2037,
2038,
2039,1.25
2040,2.11
2041,4.91
2042,6.7
2043,3.8
2044,4.33
2045,4.12
2046,
2047,3.19
2048,2.72
2049,3.8
2050,7.33
2051,
2052,
2053,
2054,2.38
2055,2.04
2056,1.25
2057,
2058,
2059,1.67
2060,2.36
2061,
2062,6.7
2063,2.84
2064,3.1
2065,2.78
2066,
2067,3.44
2068,
2069,1.69
2070,3.78
2071,4.57
2072,6.64
2073,3.38
2074,2.17
2075,4.57
2076,2.78
2077,4.23
2078,1.81
2079,3.36
2080,6.28
2081,1.9
2082,3.16
2083,6.43
2084,
2085,2.78
2086,2.64
2087,2.78
2088,2.04
2089,4.61
2090,
2091,2.04
2092,3.66
2093,
2094,1.7
2095,2.78
2096,2.06
2097,5.22
2098,
2099,6.58
2100,5.85
2101,3.69
2102,3.09
2103,
2104,
2105,2.85
2106,
2107,4.03
2108,2.68
2109,3.04
2110,2.36
2111,2.79
2112,3.89
2113,2.78
2114,9.16
2115,2.45
2116,
2117,3.66
2118,2.92
2119,4.84
2120,2.78
2121,4.76
2122,
2123,0.81
