"","team_key","date","stat_id","IP","year","stat_name","IP_round","ERA","run_per_inning","run_per_out","true_ERA"
"125","346.l.49099.t.5",16540,50,NA,2015,"IP",NA,NA,NA,NA,1.62
"126","346.l.49099.t.6",16540,50,8,2015,"IP",8,4.5,0.5,0.166666666666667,1.62
"127","346.l.49099.t.7",16540,50,9.667,2015,"IP",10,2.79,0.31,0.103333333333333,1.62
"128","346.l.49099.t.8",16540,50,1,2015,"IP",1,0,0,0,1.62
"129","346.l.49099.t.9",16540,50,2,2015,"IP",2,0,0,0,1.62
"130","346.l.49099.t.10",16540,50,1,2015,"IP",1,0,0,0,1.62
"131","346.l.49099.t.11",16540,50,18,2015,"IP",18,2,0.222222222222222,0.0740740740740741,1.62
"132","346.l.49099.t.12",16540,50,8,2015,"IP",8,2.25,0.25,0.0833333333333333,1.62
"133","346.l.49099.t.1",16541,50,8,2015,"IP",8,5.62,0.624444444444444,0.208148148148148,1.62
"134","346.l.49099.t.2",16541,50,7.667,2015,"IP",8,2.35,0.261111111111111,0.087037037037037,1.62
"135","346.l.49099.t.3",16541,50,2,2015,"IP",2,0,0,0,1.62
"136","346.l.49099.t.4",16541,50,1,2015,"IP",1,9,1,0.333333333333333,1.62
"137","346.l.49099.t.5",16541,50,7,2015,"IP",7,0,0,0,1.62
"138","346.l.49099.t.6",16541,50,2.667,2015,"IP",3,3.38,0.375555555555556,0.125185185185185,1.62
"139","346.l.49099.t.7",16541,50,7,2015,"IP",7,0,0,0,1.62
"140","346.l.49099.t.8",16541,50,10.667,2015,"IP",11,5.06,0.562222222222222,0.187407407407407,1.62
"141","346.l.49099.t.9",16541,50,6.333,2015,"IP",7,2.84,0.315555555555556,0.105185185185185,1.62
"142","346.l.49099.t.10",16541,50,6,2015,"IP",6,7.5,0.833333333333333,0.277777777777778,1.62
"143","346.l.49099.t.11",16541,50,NA,2015,"IP",NA,NA,NA,NA,1.62
"144","346.l.49099.t.12",16541,50,1.667,2015,"IP",2,10.8,1.2,0.4,1.62
